index,HIP,common name,spectral type,measured distance_ly,source
270,45238,Miaplacidus,Subgiant Star A2IV,111.17,https://www.universeguide.com/star/45238/miaplacidus
271,62434,Mimosa,Giant Star B0.5III,352.61,https://www.universeguide.com/star/62434/mimosa
272,42402,Minchir,Giant Star K2III,352.61,https://www.universeguide.com/star/42402/minchir
273,63090,Minelauva,Red Giant Branch Star M3III,202.46,https://www.universeguide.com/star/63090/auva
274,25930,Mintaka,Luminous Giant Star O9.5 II,916.19,https://www.universeguide.com/star/25930/mintaka
275,10826,Mira,Giant Star M5/6 IIIe,418.69,https://www.universeguide.com/star/10826/mira
276,5447,Mirach,Giant Star M0IIIvar,197.44,https://www.universeguide.com/star/5447/mirach 
277,13268,Miram,Supergiant Star K3Ib comp SB,1331.28,https://www.universeguide.com/star/13268/miram
278,15863,Mirfak,Supergiant Star F5Ib,591.95,https://www.universeguide.com/star/15863/mirfak
279,30324,Mirzam,Giant Star B1II/III,499.48,https://www.universeguide.com/star/30324/mirzam
280,14668,Misam,Giant Star K0III,112.28,https://www.universeguide.com/star/14668/misam
281,65378,Mizar,Main Sequence A2V,78.16,https://www.universeguide.com/star/65378/mizar
283,72339,Monch,Main Sequence K0V,97.07,https://www.universeguide.com/star/72339/hd130322
287,8796,Mothallah,Spectroscopic Binary F6IV,64.12,https://www.universeguide.com/star/8796/caputtrianguli
288,22491,Mouhoun,Giant Star K0III,394.87,https://www.universeguide.com/star/22491/mouhoun
290,34045,Muliphein,Luminous Giant Star B8II,402.17,https://www.universeguide.com/star/34045/muliphein
291,67927,Muphrid,Spectroscopic Binary G0IV,36.99,https://www.universeguide.com/star/67927/muphrid
292,41704,Muscida,Giant Star G4II-III,183.65,https://www.universeguide.com/star/41704/muscida
293,103527,Musica,Giant Star G6III,238.42,https://www.universeguide.com/star/103527/musica
295,44946,Nahn,Spectroscopic Binary K0III,380.59,https://www.universeguide.com/star/44946/xicancri
297,39429,Naos,Supergiant Star O5IAf,1399.84,https://www.universeguide.com/star/39429/naos
298,106985,Nashira,Giant Star A7III:mp...,138.91,https://www.universeguide.com/star/106985/nashira
299,40687,Nasti,G0,191.86,https://www.universeguide.com/star/40687/hd68988
300,48235,Natasha,Main Sequence K1V,110.75,https://www.universeguide.com/star/48235/natasha
301,73555,Nekkar,Giant Star G8III,218.75,https://www.universeguide.com/star/73555/nekkar
302,7607,Nembus,Giant Star K3III,173.86,https://www.universeguide.com/star/7607/nembus
303,5054,Nenque,Subgiant Star G3IV,131.52,https://www.universeguide.com/star/5054/nenque
304,32916,Nervia,G0,132.86,https://www.universeguide.com/star/32916/nervia
305,33856,Nganurganity,Giant Star K4III,1217.03,https://www.universeguide.com/star/33856/sigmacanismajoris
306,25606,Nihal,Luminous Giant Star G5II,159.18,https://www.universeguide.com/star/25606/nihal
307,74961,Nikawiy,G5,346.98,https://www.universeguide.com/star/74961/nikawiy 
308,31895,Nosaxa,Subgiant Star G5IV/V,285.11,https://www.universeguide.com/star/31895/nosaxa
309,92855,Nunki,Main Sequence B2.5V,224.32,https://www.universeguide.com/star/92855/nunki 
310,75695,Nusakan,Variable Star F0p,114.04,https://www.universeguide.com/star/75695/nusakan
311,13192,Nushagak,G5,255.21,https://www.universeguide.com/star/13192/nushagak
313,80838,Ogma,G0,257.23,https://www.universeguide.com/star/80838/ogma
314,93747,Okab,Main Sequence A0Vn,83.25,https://www.universeguide.com/star/93747/denebelokab
315,81266,Paikauhale,Main Sequence B0V,429.73,https://www.universeguide.com/star/81266/tauscorpii
317,100751,Peacock,Spectroscopic Binary B2IV,183.24,https://www.universeguide.com/star/100751/peacock
319,26634,Phact,Subgiant Star B7IV,268.23,https://www.universeguide.com/star/26634/phact
320,58001,Phecda,Main Sequence A0V SB,83.65,https://www.universeguide.com/star/58001/phecda
321,75097,Pherkad,Giant Star A3II-III,480.36,https://www.universeguide.com/star/75097/pherkad
322,99711,Phoenicia,Main Sequence K1/2 V,https://www.universeguide.com/star/99711/v1703aquilae
323,40881,Piautos,Main Sequence B9.5V,419.23,https://www.universeguide.com/star/40881/lambdacancri
